raceId,driverId,stop,lap,time,duration,milliseconds
841,153,1,1,17:05:23,26.90,26898
841,30,1,1,17:05:52,25.02,25021
841,17,1,11,17:20:48,23.43,23426
841,4,1,12,17:22:34,23.25,23251
841,13,1,13,17:24:10,23.84,23842
841,22,1,13,17:24:29,23.64,23643
841,20,1,14,17:25:17,22.60,22603
841,814,1,14,17:26:03,24.86,24863
841,816,1,14,17:26:50,25.26,25259
841,67,1,15,17:27:34,25.34,25342
841,2,1,15,17:27:41,22.99,22994
841,1,1,16,17:28:24,23.23,23227
841,808,1,16,17:28:39,24.54,24535
841,3,1,16,17:29:00,23.72,23716
841,155,1,16,17:29:06,24.06,24064
841,16,1,16,17:29:08,25.98,25978
841,15,1,16,17:29:49,24.90,24899
841,18,1,17,17:30:24,16.87,16867
841,153,2,17,17:31:06,24.46,24463
841,5,1,17,17:31:11,24.87,24865
841,30,2,17,17:32:08,23.99,23988
841,10,1,18,17:33:02,23.79,23792
841,18,2,19,17:33:53,23.30,23303
841,815,1,23,17:40:27,23.44,23438
841,22,2,23,17:40:45,37.86,37856
841,17,2,26,17:44:29,22.52,22520
841,4,2,27,17:46:04,24.73,24733
841,22,3,28,17:49:07,16.89,16892
841,67,2,29,17:49:47,23.10,23100
841,2,2,30,17:51:32,25.10,25098
841,13,2,31,17:52:28,24.50,24500
841,155,2,32,17:54:21,24.19,24192
841,20,2,36,17:59:17,24.04,24036
841,1,2,36,17:59:29,23.20,23199
841,153,3,35,17:59:45,26.35,26348
841,808,2,36,17:59:47,25.68,25683
841,814,2,36,18:00:48,24.33,24332
841,18,3,37,18:01:49,22.68,22681
841,16,2,37,18:02:15,23.87,23871
841,15,2,37,18:03:55,24.85,24848
841,816,2,38,18:06:53,26.45,26446
841,17,3,41,18:07:37,26.23,26230
841,22,4,40,18:08:03,26.31,26309
841,4,3,42,18:09:08,24.18,24181
841,13,3,48,18:18:54,24.10,24095
842,16,1,3,16:09:07,31.69,31694
842,22,1,3,16:10:04,32.98,32978
842,17,1,10,16:21:21,22.57,22572
842,814,1,11,16:23:16,22.77,22773
842,1,1,12,16:24:40,22.55,22552
842,20,1,13,16:26:17,23.02,23019
842,2,1,13,16:26:28,23.90,23900
842,18,1,13,16:26:29,22.40,22400
842,13,1,13,16:26:30,29.22,29224
842,15,1,13,16:27:03,25.52,25516
842,4,1,14,16:28:15,23.15,23152
842,30,1,14,16:28:34,22.58,22576
842,808,1,15,16:30:10,23.18,23182
842,67,1,15,16:30:23,23.28,23280
842,3,1,15,16:30:37,24.97,24967
842,5,1,15,16:30:37,29.08,29084
842,153,1,16,16:32:25,23.58,23584
842,16,2,16,16:32:31,22.05,22046
842,155,1,17,16:33:53,23.28,23280
842,815,1,17,16:34:14,23.60,23597
842,10,1,17,16:34:28,24.62,24617
842,816,1,17,16:34:39,26.25,26252
842,24,1,17,16:34:56,27.82,27815
842,22,2,17,16:35:41,24.50,24502
842,67,2,20,16:39:30,29.84,29843
842,17,2,22,16:42:37,21.99,21991
842,18,2,23,16:44:11,22.47,22471
842,1,2,24,16:45:48,22.61,22611
842,814,2,24,16:46:20,22.42,22419
842,20,2,25,16:47:27,21.89,21893
842,4,2,26,16:49:19,23.89,23894
842,2,2,26,16:49:31,23.22,23221
842,13,2,27,16:51:17,22.54,22541
842,808,2,27,16:51:25,22.68,22680
842,30,2,28,16:53:26,22.26,22261
842,3,2,29,16:55:28,22.58,22577
842,17,3,32,17:00:01,22.07,22069
842,153,2,32,17:00:55,22.89,22888
842,16,3,32,17:00:56,22.55,22550
842,67,3,32,17:01:03,27.44,27439
842,5,2,34,17:04:41,23.34,23336
842,10,2,34,17:05:19,24.43,24429
842,816,2,35,17:07:20,24.42,24416
842,155,2,36,17:07:26,23.44,23442
